,0
A,0.9954065297563011
AAPL,1.1864643045390273
ABBV,0.6061392001900109
ABT,0.7884598994387852
ADBE,1.2973300297314414
ADI,1.2854587296117612
ADM,0.7723327298425411
ADP,0.9640315805887454
ADSK,1.3891014952075031
AEE,0.5735987721285851
AEP,0.4914656643330175
AES,1.0411139461533683
AFL,0.8862753171976545
AIG,1.1547068114335048
AIZ,0.799137532766832
AJG,0.8034679214700813
AKAM,0.7917351477731577
ALB,1.3700541664040293
ALGN,1.5194672807092091
ALL,0.7571213806479595
AMAT,1.6456416372095903
AMD,1.6883047144927508
AME,1.0135624480265835
AMGN,0.6904019638385207
AMP,1.4624002075032643
AMT,0.7576291570206484
AMZN,1.1924806733895865
ANET,1.3025995034148559
ANSS,1.2562108913283014
AOS,0.8853105899509396
APA,1.5010586802943495
APD,0.8707799219369659
APH,1.103525983282526
APO,1.3623968578080023
ARE,0.9099118069054357
AWK,0.646041978437055
BALL,0.8273426114544294
BDX,0.5731434914398437
BK,0.9982615188767758
BKNG,1.1274470291523953
BLDR,1.552896375589011
BMY,0.5099504414116014
BR,0.8501636351417473
BRO,0.8446357901228909
BSX,0.8937408864631771
BWA,1.0889919758331255
BX,1.435573819151326
BXP,1.0400685531543927
C,1.2730254654174713
CAG,0.39028831286345417
CAH,0.7152213502499811
CBRE,1.2304337493781141
CCI,0.7224112859472397
CDNS,1.2623778123591896
CDW,1.1124319120323556
CE,1.1791838105856125
CF,0.941856486517742
CFG,1.338685018151748
CHD,0.3958217970263472
CHRW,0.6312305571739362
CHTR,0.8326520809255734
CI,0.8154960671025917
CINF,0.9435804224175937
CL,0.4836468231827944
CLX,0.3164311770644015
CMCSA,0.8352466646754457
CME,0.6759453179440732
CMG,0.9220684804575294
CMI,0.9044582688281388
CMS,0.49228241180479415
CNC,0.8206631968953878
CNP,0.7977792648775819
COF,1.3839282920778442
COO,0.8769898889756989
COP,1.0569854256068831
COR,0.6509831879279164
COST,0.7457059131145328
CPB,0.2674475402168379
CPRT,1.0251854618839893
CRL,1.1822863823413892
CRM,1.2619570515016694
CSCO,0.9396122668211789
CSGP,1.0291654794808904
CSX,1.0135758525101748
CTAS,1.053552911519167
CTRA,0.7395872477990162
CTSH,1.055596485612382
CVS,0.6880595634050998
CVX,0.9337084186432419
CZR,1.9569645743319122
D,0.5546872504753015
DAL,1.2711520925128748
DE,0.9646536710006963
DECK,1.1770458669311146
DELL,1.1950550721730622
DFS,1.4644001794952128
DG,0.545497728065522
DGX,0.607764943656472
DHI,1.1359756400944354
DHR,0.8449033294724773
DIS,0.984902394102017
DLR,0.8085522132825589
DLTR,0.7346308985671481
DOC,0.9017188700668752
DOV,1.0635932871230347
DPZ,0.6126824733107804
DRI,1.1064397362397163
DTE,0.6410490784655822
DUK,0.5269646144919493
DVA,0.6846745048402116
DVN,1.363320123411305
DXCM,1.0295445894042983
EA,0.6781737436952211
EBAY,0.8775255905586491
ECL,0.9929632795405714
ED,0.41804064373914834
EFX,1.0055281368548297
ERIE,0.6329527152823803
EVRG,0.6301281032479531
EW,0.9742621302535315
EXC,0.7253185480481246
EXPD,0.7957074660718562
EXPE,1.2724880326209218
EXR,0.7047209899630932
F,1.1906032951848804
FANG,1.197809017968906
FAST,0.9252009379083265
FCX,1.5742590778608616
FDS,0.892294729387861
FDX,1.0469446704639076
FE,0.6423472023801965
FFIV,0.967907731308572
FI,0.993960626748443
FICO,1.2726495804413678
FIS,1.0236487153456237
FITB,1.3282371609233183
FMC,1.0039422889670804
FSLR,1.070487033546264
FTNT,1.2143818545633531
FTV,1.0218249941757651
GD,0.7647840600402777
GDDY,1.0775760103725145
GE,1.1100035990984853
GEN,0.7042856129424402
GILD,0.554047018584594
GIS,0.3066924776169204
GL,0.9289152648785346
GLW,1.13463750753003
GM,1.2213734626248691
GNRC,1.4203445676256727
GOOG,1.1669714142165597
GPC,0.896201261257434
GPN,1.2393217682128579
GS,1.1490687828124049
GWW,0.9053186284389774
HAL,1.3351732862052252
HAS,0.9373297191102092
HBAN,1.1537618735366213
HCA,0.9822427220236933
HD,0.9829980942004821
HES,1.1803630291409106
HIG,0.9251600213946449
HII,0.7625620330371953
HLT,1.0083158528731089
HOLX,0.7591871551854277
HON,0.9277869248122605
HPE,1.1645917292916548
HPQ,1.1713961906243382
HRL,0.35015821047441564
HSIC,0.7539415246451446
HST,1.1338231944433543
HSY,0.4924866062948941
HUBB,1.04085597610205
HUM,0.7223173556313701
HWM,1.3061955528187688
IBM,0.7992230445186606
ICE,0.8001626390340357
IDXX,1.067471895294473
IEX,0.8866193729110236
IFF,0.8808796020917202
INCY,0.7304376045203474
INTC,1.3027803094986559
INTU,1.346963524189577
IP,0.9408608820005231
IPG,1.0751037745413634
IQV,1.1470312241231961
IRM,0.8599256834060236
ISRG,1.2056655156390432
IT,1.047304686093316
ITW,0.9397258054914268
J,0.9591530300352438
JBHT,0.9062373176799874
JBL,1.2880644248918403
JKHY,0.708586507639941
JNJ,0.48434918097355895
JNPR,0.8041044681134932
JPM,1.0636476851637102
K,0.295248546581709
KDP,0.48616284586318514
KEY,1.4015581868199178
KHC,0.5885698337299368
KIM,1.032875248989917
KKR,1.415372324588513
KLAC,1.5733874655010083
KMB,0.42126456379857424
KMI,0.8908531501780474
KMX,1.2223465789412735
KO,0.5649932210863471
KR,0.3336279273511765
L,0.9777482810276348
LDOS,0.7821820452714495
LHX,0.6740797602995257
LII,0.9225185950352337
LKQ,1.1059337813388603
LLY,0.6728191330515243
LMT,0.5697705690291315
LNT,0.5416401905880597
LOW,1.0570268634731157
LUV,1.024170331354728
LVS,1.131499496958631
LW,0.867018209735015
LYV,1.2108008678121434
MA,1.1312365749651758
MAA,0.7874702328627988
MAR,1.094561615833125
MAS,1.0171267786605789
MCD,0.6622926999723974
MCHP,1.5513626468729969
MCK,0.6621564925064001
MCO,1.1570204630495895
MDLZ,0.6506047219448032
MET,1.1418652052685792
META,1.3343155885182392
MGM,1.5945829591428051
MHK,1.231929278280916
MKC,0.5311596286337807
MKTX,0.7799574267343194
MLM,1.0591588321789915
MMC,0.7863620485983849
MMM,0.8204310279619578
MNST,0.7919686761656503
